Module  ExpectedPeak    MeasuredPeak    oldFactor       Ratio           Sigma           Chi2/ndf        
W244    2100.9          1952.52         0.122           1.076           41.1529         0.826212        
W245    2101.48         1967.98         0.122           1.06784         40.926          2.0489          
W246    2102            1867.54         0.122           1.12555         46.7435         1.86518         
W247    2102.47         1952.59         0.122           1.07676         41.7783         0.896134        
W248    2102.89         1778.2          0.122           1.18259         45.0884         0.810818        
W249    2103.26         1775.46         0.122           1.18463         40.1255         1.57798         
W250    2103.58         1835.3          0.122           1.14617         42.6081         0.69309         
W251    2103.84         1818.85         0.122           1.15669         44.7579         1.61405         
W252    2104.05         1915.35         0.122           1.09852         44.7798         0.391805        
W253    2104.21         1819.41         0.122           1.15653         48.5947         2.85953         
W254    2104.31         1785.43         0.122           1.1786          47.5237         2.23185         
W255    2104.36         1790.81         0.122           1.17509         45.7473         1.70479         
W256    2104.36         1839.1          0.122           1.14423         38.4726         1.12202         
W257    2104.31         1770.9          0.122           1.18827         47.1701         2.4469          
W258    2104.21         1708.98         0.122           1.23126         42.9164         2.01827         
W259    2104.05         1688.76         0.122           1.24592         56.9203         3.01817         
W260    2103.84         1811.96         0.122           1.16108         42.148          2.14371         
W261    2103.58         1801.52         0.122           1.16766         41.2316         0.978872        
W262    2103.26         1861.5          0.122           1.12987         40.8392         0.487741        
W263    2102.89         1874.53         0.122           1.12183         52.7345         2.25533         
W264    2102.47         1881.78         0.122           1.11728         48.341          0.845523        
W265    2102            1800.14         0.122           1.16769         42.1545         0.780014        
W266    2101.48         1859.74         0.122           1.12998         41.3653         0.948459        
W267    2100.9          1547.26         0.122           1.35782         55.348          1.21845         
W268    2100.28         1607.34         0.122           1.30668         53.0374         2.96693         
W269    2099.6          1899.15         0.122           1.10555         27.2329         1.44413         
W270    2098.87         1940.98         0.122           1.08135         36.2689         1.19736         
W271    2098.09         1800.1          0.122           1.16554         46.0358         1.09514         
W272    2097.25         1791.25         0.122           1.17083         37.1512         1.57344         
W273    2097.72         1819.06         0.122           1.15319         59.143          0.623627        
W274    2098.55         1843.03         0.122           1.13865         56.9949         1.21006         
W275    2099.33         1904.12         0.122           1.10252         43.7192         0.390026        
W276    2100.07         1780.12         0.122           1.17973         43.5983         0.449631        
W277    2100.75         1857.29         0.122           1.13108         45.6619         2.08912         
W278    2101.37         1928.07         0.122           1.08989         46.8917         0.402378        
W279    2101.95         1870.88         0.122           1.12351         50.3773         1.07232         
W280    2102.47         1817.75         0.122           1.15663         38.4093         0.674808        
W281    2102.95         1750.85         0.122           1.2011          45.5563         0.755904        
W282    2103.37         1719.08         0.122           1.22354         46.0437         4.35055         
W283    2103.73         1658.6          0.122           1.26838         45.0366         4.28078         
W284    2104.05         1724.33         0.122           1.22021         42.0583         2.46329         
W285    2104.31         1667.59         0.122           1.26188         51.4413         7.78649         
W286    2104.52         1929.4          0.122           1.09076         42.6315         0.969754        
W287    2104.68         1892.74         0.122           1.11197         40.5204         0.570873        
W288    2104.78         1812.58         0.122           1.16121         50.7434         1.45043         
W289    2104.84         1845.75         0.122           1.14037         41.1626         1.05263         
W290    2104.84         1685.57         0.122           1.24874         51.8196         8.63244         
W291    2104.78         1909.31         0.122           1.10238         41.4753         1.2321          
W292    2104.68         1677.95         0.122           1.25432         49.4194         1.82863         
W293    2104.52         1847.48         0.122           1.13913         39.9628         1.90322         
W294    2104.31         1765.89         0.122           1.19164         53.805          2.12282         
W295    2104.05         1788.32         0.122           1.17655         44.5277         0.75188         
W296    2103.73         1810.77         0.122           1.16179         44.1577         1.17916         
W297    2103.37         2009.37         0.122           1.04678         44.371          0.853216        
W298    2102.95         1912.11         0.122           1.0998          44.9174         1.39018         
W299    2102.47         1977.71         0.122           1.06309         40.6757         1.08977         
W300    2101.95         1730.38         0.122           1.21473         44.0002         1.25572         
W301    2101.37         1892.86         0.122           1.11016         47.6483         1.44643         
W302    2100.75         1785.62         0.122           1.17648         53.0554         1.99417         
W303    2100.07         1862.79         0.122           1.12738         41.9944         0.847091        
W304    2099.33         1873.75         0.122           1.12039         42.8887         0.185063        
W305    2098.55         1749.72         0.122           1.19936         41.0171         1.13537         
W306    2097.72         1791.4          0.122           1.171           48.5055         0.553438        
W307    2098.14         1832.15         0.122           1.14518         153.709         1.55532         
W308    2098.97         2011.97         0.122           1.04324         43.0531         1.51479         
W309    2099.75         1953.65         0.122           1.07478         38.952          0.3479          
W310    2100.48         1982.4          0.122           1.05957         39.3912         0.688585        
W311    2101.16         1934.47         0.122           1.08617         44.065          2.72525         
W312    2101.79         1984.72         0.122           1.05899         47.4634         0.961349        
W313    2102.37         1939.35         0.122           1.08406         48.9574         1.92707         
W314    2102.89         1870.9          0.122           1.124           47.6063         1.9634          
W315    2103.36         1815.92         0.122           1.15829         44.9191         0.365472        
W316    2103.78         1924.46         0.122           1.09318         43.7542         1.24635         
W317    2104.15         1947.28         0.122           1.08056         41.6506         0.48344         
W318    2104.47         1833.69         0.122           1.14767         43.7903         1.24352         
W319    2104.73         1737.65         0.122           1.21125         47.7077         2.19903         
W320    2104.94         1915.25         0.122           1.09904         44.38           2.8662          
W321    2105.1          1866.95         0.122           1.12756         48.8137         2.84045         
W322    2105.2          2017.45         0.122           1.0435          40.9104         1.89324         
W323    2105.26         1785.08         0.122           1.17937         47.3618         6.59581         
W324    2105.26         1782.42         0.122           1.18112         39.8413         1.39767         
W325    2105.2          1859.15         0.122           1.13235         40.131          0.529088        
W326    2105.1          1735.63         0.122           1.21288         41.2375         2.67044         
W327    2104.94         1709.19         0.122           1.23154         45.5075         3.58338         
W328    2104.73         1855.42         0.122           1.13437         43.377          3.3079          
W329    2104.47         1840.12         0.122           1.14366         42.7826         0.822999        
W330    2104.15         1772.46         0.122           1.18714         45.4365         2.65316         
W331    2103.78         1782.01         0.122           1.18057         49.4936         4.00404         
W332    2103.36         1876.88         0.122           1.12067         53.7304         2.97256         
W333    2102.89         1669.72         0.122           1.25943         54.6445         1.93149         
W334    2102.37         1761.11         0.122           1.19377         47.5715         0.648031        
W335    2101.79         1932.32         0.122           1.08771         56.6788         0.722624        
W336    2101.16         1963.33         0.122           1.07021         42.2483         1.87003         
W337    2100.48         1936.54         0.122           1.08466         43.9653         0.896598        
W338    2099.75         1755.7          0.122           1.19596         54.0735         1.14896         
W339    2098.97         1925.28         0.122           1.09021         39.6556         0.965513        
W340    2098.14         1845.04         0.122           1.13717         59.5608         0.690934        
W341    2098.5          1949.1          0.122           1.07665         64.9241         1.06321         
W342    2099.33         1935.24         0.122           1.08479         47.8817         0.645006        
W343    2100.12         1929.57         0.122           1.08838         34.8161         0.939503        
W344    2100.85         1858.6          0.122           1.13034         41.9752         0.542372        
W345    2101.53         1830.76         0.122           1.1479          44.4642         0.582053        
W346    2102.16         1971.72         0.122           1.06616         52.7127         0.780736        
W347    2102.73         2042.97         0.122           1.02925         40.0569         2.10665         
W348    2103.26         2005.56         0.122           1.04871         42.9276         1.50876         
W349    2103.73         1939.21         0.122           1.08484         41.2059         0.189651        
W350    2104.15         1834.14         0.122           1.14722         45.2234         2.25            
W351    2104.52         1785.05         0.122           1.17897         49.0673         1.84003         
W352    2104.84         1839.3          0.122           1.14437         43.4893         3.53637         
